location_code,location,year,population,urban_population_ratio,gdp_per_capita,source,collected_at
BTN,Bhutan,2023,786385,41.7352457989939,3831.32535564326,World Bank,2026-07-10T05:20:25.914609+00:00
BTN,Bhutan,2024,791524,42.5645249803412,4228.05102403654,World Bank,2026-07-10T05:20:25.914609+00:00
BTN,Bhutan,2025,796682,43.4301832473753,4492.78400306618,World Bank,2026-07-10T05:20:25.914609+00:00
BWA,Botswana,2020,2365894,66.4488166494554,6323.2974967659,World Bank,2026-07-10T05:20:25.914609+00:00
BWA,Botswana,2021,2401441,66.5182767068255,7807.88794570471,World Bank,2026-07-10T05:20:25.914609+00:00
BWA,Botswana,2022,2439892,66.5889787170477,8328.7090572666,World Bank,2026-07-10T05:20:25.914609+00:00
BWA,Botswana,2023,2480244,67.0212655349864,7827.30027960734,World Bank,2026-07-10T05:20:25.914609+00:00
BWA,Botswana,2024,2521139,67.4623537838418,7649.81663744354,World Bank,2026-07-10T05:20:25.914609+00:00
BWA,Botswana,2025,2562122,67.9559561532102,7778.1151090571,World Bank,2026-07-10T05:20:25.914609+00:00
CAF,Central African Republic,2020,5026628,42.3050785933463,462.879071294011,World Bank,2026-07-10T05:20:25.914609+00:00
CAF,Central African Republic,2021,5112100,42.8547782897949,492.263142830507,World Bank,2026-07-10T05:20:25.914609+00:00
CAF,Central African Republic,2022,5098039,43.2751967457285,467.359825026238,World Bank,2026-07-10T05:20:25.914609+00:00
CAF,Central African Republic,2023,5152421,43.6983692134165,495.978897288721,World Bank,2026-07-10T05:20:25.914609+00:00
CAF,Central African Republic,2024,5330690,44.1243555638904,516.160999996036,World Bank,2026-07-10T05:20:25.914609+00:00
CAF,Central African Republic,2025,5513282,44.5532156681816,556.131398031455,World Bank,2026-07-10T05:20:25.914609+00:00
CAN,Canada,2020,38028638,81.9509888710566,43537.8981198851,World Bank,2026-07-10T05:20:25.914609+00:00
CAN,Canada,2021,38239864,82.1779279079275,52886.6407813788,World Bank,2026-07-10T05:20:25.914609+00:00
CAN,Canada,2022,38950132,82.3500897353968,56496.9275340663,World Bank,2026-07-10T05:20:25.914609+00:00
CAN,Canada,2023,40049088,82.5250564408346,54847.5370112652,World Bank,2026-07-10T05:20:25.914609+00:00
CAN,Canada,2024,41262329,82.7002565766633,55015.7066917734,World Bank,2026-07-10T05:20:25.914609+00:00
CAN,Canada,2025,41651653,82.8757020253886,55697.6639660837,World Bank,2026-07-10T05:20:25.914609+00:00
CEB,Central Europe and the Baltics,2020,101215763,61.6318247679717,16581.3833261524,World Bank,2026-07-10T05:20:25.913489+00:00
CEB,Central Europe and the Baltics,2021,100205732,61.5491099540844,19224.3287744219,World Bank,2026-07-10T05:20:25.913489+00:00
CEB,Central Europe and the Baltics,2022,100071871,61.5935240282645,19526.2463443821,World Bank,2026-07-10T05:20:25.913489+00:00
CEB,Central Europe and the Baltics,2023,100183707,61.69707902806,22693.9504470566,World Bank,2026-07-10T05:20:25.913489+00:00
